mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,1921,0.886896,0.4185973333,260537.1667,0.2318151333,0.3448780589,0.20571,-17.04866667,0.073662,101.5314933,0.3793266667,0.6533333333,2
1,1922,0.9385915493,0.4820422535,165469.7465,0.2378153521,0.4341948697,0.2407197183,-19.27528169,0.1166549296,100.8845211,0.5355492958,0.1408450704,10
1,1923,0.9572467914,0.5773405405,177942.3622,0.2624064865,0.371732725,0.2274621622,-14.12921081,0.09394864865,114.0107297,0.6254924324,5.389189189,0
1,1924,0.9401998602,0.5498940678,191046.7076,0.3443466102,0.5817009136,0.2352190678,-14.23134322,0.09208940678,120.689572,0.6637254237,0.6610169492,10
1,1925,0.9626070504,0.5738633094,184986.9245,0.2785935252,0.4182973612,0.2376679856,-14.14641367,0.1119179856,115.5219209,0.621928777,2.604316547,5
1,1926,0.660817217,0.5998802612,156881.6575,0.2114670907,0.3330931111,0.2323695936,-18.49253846,0.4837036284,109.6480327,0.4369104572,1.422351234,9
1,1927,0.9361794553,0.6482682927,184993.5984,0.2643213008,0.3913284987,0.1684502439,-14.42237398,0.1136095935,114.8465236,0.6597004878,0.8016260163,7
1,1928,0.9386165036,0.5342878668,214827.9064,0.2079477954,0.4948354801,0.1752893735,-17.19198255,0.1599114988,106.7722617,0.4957126883,1.525773196,1
1,1929,0.6014265861,0.6476698529,168999.4128,0.2418007353,0.2152040311,0.2360002101,-16.53037605,0.4900007353,110.9483571,0.6365298319,0.3403361345,7
1,1930,0.9367149374,0.5181758836,195150.2853,0.3335239189,0.3522059282,0.2213108628,-12.86922141,0.1199096674,109.8711944,0.6162376299,0.9267151767,2
1,1931,0.8330399586,0.5952217391,171553.4255,0.2344967733,0.2214196416,0.2274279503,-16.5160942,0.4536189441,109.0252816,0.5131170807,0.1708074534,0
1,1932,0.9357705179,0.5577976096,195749.3725,0.3020677291,0.2263565792,0.2324962151,-13.36405578,0.1390073705,115.1198008,0.5881599602,2.151394422,7
1,1933,0.8998979091,0.5702903039,196219.2576,0.2798994211,0.1839489397,0.2090719247,-13.06900868,0.09112315485,112.522,0.5994099855,6.89869754,7
1,1934,0.8911487502,0.5287058824,189356.1263,0.2621313149,0.2763822666,0.2134525952,-14.75687543,0.1024569204,115.390846,0.5588046713,1.257785467,0
1,1935,0.7783855599,0.55586917,220124.247,0.2463669763,0.2258732981,0.2292998682,-15.41474967,0.3539123847,110.6679565,0.5455777997,1.501317523,7
1,1936,0.77231208,0.5580055455,220809.1864,0.3083886093,0.2571099957,0.2214382727,-14.61299909,0.2790293636,109.8887545,0.5640635455,5.080909091,10
1,1937,0.8654357854,0.5421572298,223216.5586,0.3110482953,0.3270876216,0.2259677321,-13.11514307,0.08567884323,115.2632222,0.5857894977,3.328767123,7
1,1938,0.9192803909,0.4799779772,249177.0995,0.2809812398,0.3784246349,0.237111093,-14.29058238,0.09595725938,111.6253279,0.5149111093,2.096247961,0
1,1939,0.9087381,0.5126828,221602.065,0.2826715,0.2776824694,0.2391016,-13.90057,0.1284627,113.174592,0.5599249,4.36,0
1,1940,0.84764405,0.52189235,182227.9445,0.310892895,0.3168486999,0.2643351,-13.684048,0.24295765,108.4493345,0.61670947,0.93,7
1,1941,0.8957376563,0.4804813542,201904.575,0.2656431979,0.4449516393,0.2018398958,-15.75553646,0.09136520833,107.9151229,0.4794560417,1.357291667,7
1,1942,0.8529343704,0.4646338882,222361.1683,0.2560794709,0.3928820479,0.2128784185,-15.0290321,0.0836783591,106.0083977,0.4774088585,1.126634958,7
1,1943,0.9027523186,0.4551456338,240119.9099,0.2799900423,0.4098969235,0.2392107042,-13.60212535,0.1057195775,106.1967915,0.495454507,1.181690141,5
1,1944,0.9076531915,0.5001744681,245555.5864,0.2534414495,0.4492919654,0.2387719415,-14.58205585,0.1732832447,105.9639295,0.5406954787,3.192819149,10
1,1945,0.709656863,0.51914315,196161.557,0.2260444155,0.275894257,0.20300995,-16.9814715,0.3050973,108.3240705,0.49136135,2.1265,0
1,1946,0.9199445824,0.4144450116,267677.8231,0.2221723086,0.4861264096,0.2108183295,-16.92177436,0.08800591647,103.1645551,0.3982538283,1.656612529,7
1,1947,0.9139650224,0.4713208485,233137.3842,0.2635512,0.3475934179,0.2238293939,-14.37760788,0.1005638182,108.9910261,0.5082125455,1.615757576,7
1,1948,0.922155,0.4633694737,199194.8742,0.2424648411,0.3554848224,0.2196935789,-15.50540737,0.1643593158,108.0583611,0.4621423684,1.527368421,0
